Rentrée scolaire;UAI;IPS;Ecart-type de l'IPS
2023;0010026Y;111.1;32.8
2023;0010035H;78.1;30.4
2023;0010037K;110.1;33.8
2023;0010039M;97.7;30.0
2023;0010040N;97.7;25.0
2023;0010079F;111.2;28.6
2023;0010086N;107.0;27.0
2023;0010823P;97.3;34.7
2023;0010987T;86.4;33.0
2023;0011257L;126.4;31.0
2023;0011301J;122.2;33.5
2023;0011338Z;120.6;33.8
2023;0011415H;116.0;31.7
2023;0011429Y;97.9;29.4
2023;0020007X;70.9;21.8
2023;0020044M;88.8;27.6
2023;0020046P;107.1;31.9
2023;0020054Y;67.7;21.7
2023;0020055Z;90.4;30.0
2023;0020063H;84.2;28.4
2023;0020066L;104.7;32.6
2023;0020075W;80.5;28.9
2023;0021494N;91.1;29.1
2023;0021535H;100.8;35.4
2023;0021593W;97.2;28.2
2023;0021598B;98.7;32.0
2023;0021685W;103.5;37.6
2023;0021689A;83.6;29.0
2023;0030009U;94.9;28.6
2023;0030013Y;97.7;28.0
2023;0030047K;90.6;25.2
2023;0030062B;103.5;33.1
2023;0030091H;95.9;32.7
2023;0030837U;104.3;32.0
2023;0030980Z;110.1;29.4
2023;0040017X;98.3;30.6
2023;0040052K;101.2;30.8
2023;0040524Y;112.3;34.2
2023;0040587S;149.1;27.0
2023;0050022X;100.5;27.7
2023;0050480V;109.4;32.4
2023;0060008B;94.3;29.0
2023;0060032C;104.3;34.6
2023;0060048V;110.9;35.0
2023;0060061J;99.5;27.8
2023;0060066P;105.1;30.9
2023;0060085K;86.5;30.2
2023;0060086L;106.0;39.4
2023;0060681H;114.2;26.1
2023;0060823M;120.7;29.3
2023;0060840F;83.9;26.7
2023;0060910G;89.9;28.9
2023;0061002G;92.6;30.0
2023;0061129V;69.9;21.1
2023;0061134A;100.3;35.0
2023;0061209G;114.3;33.5
2023;0061456A;133.2;27.2
2023;0061722P;118.8;31.3
2023;0061772U;130.0;27.5
2023;0061824A;94.5;29.7
2023;0061853G;116.8;35.9
2023;0070012A;106.3;29.5
2023;0070023M;104.9;27.2
2023;0070042H;99.8;32.1
2023;0070059B;103.4;27.2
2023;0070086F;99.2;23.1
2023;0070890E;97.2;28.7
2023;0071245R;90.2;34.2
2023;0071320X;118.4;33.7
2023;0080011U;109.9;41.1
2023;0080016Z;92.8;30.3
2023;0080068F;80.6;27.2
2023;0080084Y;115.4;27.8
2023;0080089D;101.7;21.5
2023;0080839U;78.8;25.9
2023;0080894D;66.2;20.4
2023;0080896F;98.9;29.6
2023;0080909V;94.1;29.1
2023;0090010M;108.2;30.5
2023;0090012P;102.2;30.3
2023;0090025D;100.1;30.1
2023;0090478W;107.0;35.9
2023;0090591U;116.3;28.6
2023;0100007D;94.8;29.4
2023;0100009F;83.9;28.9
2023;0100051B;108.0;29.5
2023;0100054E;111.7;27.4
2023;0100081J;85.7;31.1
2023;0100807Y;82.4;30.2
2023;0110010B;101.7;32.3
2023;0110049U;115.3;25.1
2023;0110667R;93.8;28.1
2023;0110721Z;111.4;30.2
2023;0110724C;99.4;28.0
2023;0120021H;108.4;29.3
2023;0120028R;105.7;23.6
2023;0120078V;107.9;24.6
2023;0120081Y;99.6;21.4
2023;0121213D;98.2;32.1
2023;0121255Z;110.6;26.1
2023;0121273U;98.4;34.3
2023;0121297V;100.3;32.0
2023;0121500R;114.5;28.4
2023;0130032P;114.1;31.5
2023;0130079R;133.9;40.2
2023;0130158B;113.4;33.6
2023;0131261A;71.2;19.6
2023;0131264D;75.4;19.5
2023;0131265E;77.9;26.5
2023;0131318M;140.6;23.5
2023;0131329Z;103.4;26.3
2023;0131349W;116.1;23.9
2023;0131370U;81.2;17.3
2023;0131382G;125.9;27.3
2023;0131610E;92.8;29.6
2023;0131705H;91.9;26.1
2023;0131707K;100.2;31.7
2023;0131711P;121.9;34.6
2023;0131885D;64.5;20.2
2023;0131922U;93.8;26.7
2023;0131932E;106.0;44.9
2023;0132214L;77.3;25.1
2023;0132325G;120.5;37.3
2023;0132401P;99.5;31.8
2023;0132408X;67.8;21.0
2023;0132497U;86.7;27.3
2023;0132565T;117.3;32.7
2023;0132732Z;113.2;34.6
2023;0132786H;112.4;36.0
2023;0132907P;120.3;28.0
2023;0132913W;146.6;17.8
2023;0132951M;127.4;29.2
2023;0132973L;120.4;37.1
2023;0133114P;123.3;34.6
2023;0133196D;114.7;33.8
2023;0133449D;124.1;34.0
2023;0133451F;123.2;33.4
2023;0133490Y;120.2;31.6
2023;0133492A;107.4;33.6
2023;0133775H;75.4;21.4
2023;0133881Y;98.8;32.8
2023;0134022B;88.1;27.2
2023;0140015R;145.0;31.9
2023;0140024A;108.0;39.5
2023;0140042V;117.1;30.5
2023;0140049C;122.1;34.9
2023;0140070A;89.5;28.5
2023;0140072C;100.8;27.5
2023;0141163N;128.1;27.9
2023;0141214U;96.4;24.0
2023;0141258S;91.5;29.0
2023;0141312A;107.6;31.0
2023;0141553M;92.5;31.8
2023;0141662F;100.3;30.4
2023;0141812U;110.2;28.7
2023;0150018N;100.5;28.2
2023;0150029A;98.6;27.0
2023;0150065P;100.4;25.1
2023;0160024P;98.0;30.3
2023;0160076W;103.0;25.3
2023;0160120U;89.4;26.4
2023;0160867F;101.0;28.9
2023;0160882X;90.9;28.4
2023;0160969S;102.1;31.6
2023;0170005N;106.0;31.0
2023;0170007R;104.6;28.2
2023;0170049L;99.9;30.8
2023;0170071K;99.2;29.7
2023;0170076R;91.2;27.3
2023;0170088D;118.5;36.6
2023;0171120A;100.3;32.6
2023;0171211Z;118.9;31.9
2023;0171213B;93.9;29.5
2023;0171340P;116.9;27.4
2023;0180004G;99.6;26.8
2023;0180591V;111.7;34.3
2023;0190001Y;107.0;30.4
2023;0190615R;97.2;28.6
2023;0190632J;102.8;24.3
2023;0190821P;117.3;38.3
2023;0210053U;101.8;30.3
2023;0211136W;103.7;36.1
